Comparison number,Winner ID,Loser ID,Is musician,
888,106,165,1,1394825846,
889,41,27,1,1394825858,
890,177,197,1,1394825870,
891,43,167,1,1394825881,
892,189,150,1,1394825895,
893,134,161,1,1394825907,
894,159,185,1,1394825921,
895,187,43,1,1394825931,
896,163,172,1,1394826319,
897,27,50,1,1394826357,
898,52,100,1,1394826742,
899,17,51,1,1394826863,
900,103,92,1,1394827141,
901,192,105,1,1394827154,
902,56,162,1,1394827511,
903,190,120,0,1394827684,
904,27,189,0,1394829484,
905,134,170,0,1394829496,
906,151,105,0,1394829581,
907,187,106,0,1394829608,
908,68,190,0,1394829640,
909,197,198,0,1394829798,
910,79,70,0,1394830114,
911,195,95,1,1394832190,
912,116,193,1,1394832473,
913,159,150,0,1394832500,
914,119,131,0,1394832527,
915,88,27,0,1394832547,
916,162,131,0,1394832568,
917,181,127,1,1394832964,
918,92,200,1,1394833002,
919,175,120,1,1394833043,
920,177,94,1,1394833127,
921,95,176,1,1394833202,
922,88,96,1,1394833298,
923,125,37,1,1394833504,
924,166,100,1,1394833642,
925,116,117,1,1394833646,
926,161,88,1,1394833672,
927,182,176,1,1394833695,
928,6,117,1,1394833705,
929,7,23,1,1394833716,
930,196,131,1,1394833728,
931,112,102,1,1394833739,
932,162,186,1,1394833780,
933,174,199,1,1394833788,
934,30,17,1,1394833805,
935,114,31,0,1394833814,
936,51,172,1,1394833819,
937,21,90,1,1394833849,
938,127,23,1,1394833881,
939,151,24,1,1394833901,
940,17,116,1,1394833922,
941,115,175,1,1394833943,
942,153,27,1,1394833967,
943,28,153,1,1394833990,
944,191,95,1,1394834011,
945,176,30,1,1394834031,
946,127,31,1,1394834050,
947,115,105,1,1394834071,
948,21,33,1,1394834093,
949,194,117,1,1394834115,
950,108,37,1,1394834138,
951,199,35,0,1394834150,
952,172,37,1,1394834172,
953,39,33,1,1394834197,
954,200,193,0,1394834203,
955,127,165,1,1394834222,
956,127,41,0,1394834229,
957,92,43,0,1394834249,
958,62,102,1,1394834298,
959,189,150,1,1394834377,
960,125,185,1,1394834390,
961,187,199,1,1394834403,
962,163,90,1,1394834419,
963,200,50,1,1394834434,
964,52,107,1,1394834453,
965,110,90,1,1394834464,
966,170,103,1,1394834554,
967,51,56,1,1394834571,
968,192,112,0,1394834601,
969,153,161,1,1394834623,
970,68,190,1,1394834640,
971,185,60,1,1394834652,
972,61,65,1,1394834665,
973,62,82,1,1394834676,
974,189,173,1,1394834690,
975,153,65,1,1394834703,
976,105,23,1,1394834715,
977,170,108,0,1394834725,
978,106,197,1,1394834727,
979,188,31,1,1394834740,
980,68,41,0,1394834740,
981,107,165,0,1394834750,
982,70,185,1,1394834753,
983,105,177,0,1394834761,
984,196,176,1,1394834766,
985,168,158,1,1394834780,
986,76,175,0,1394834784,
987,198,119,1,1394834792,
988,110,78,0,1394834793,
989,151,197,0,1394834803,
990,186,79,1,1394834816,
991,195,60,1,1394834829,
992,199,193,1,1394834842,
993,159,52,1,1394834851,
994,173,37,1,1394834861,
995,119,35,1,1394834871,
996,188,88,1,1394834881,
997,52,90,1,1394834924,
998,127,23,1,1394834935,
999,182,92,1,1394834946,
1000,111,94,1,1394834956,
1001,158,120,1,1394834999,
1002,56,96,1,1394835024,
1003,97,198,1,1394835053,
1004,167,102,1,1394835087,
1005,43,95,1,1394835109,
1006,33,100,1,1394835112,
1007,198,113,1,1394835121,
1008,117,106,1,1394835125,
1009,176,131,1,1394835148,
1010,176,131,1,1394835148,
1011,197,6,1,1394835162,
1012,196,163,1,1394835176,
1013,112,23,1,1394835200,
1014,166,102,1,1394835212,
1015,108,111,1,1394835248,
1016,52,148,1,1394835283,
1017,114,168,1,1394835344,
1018,17,82,1,1394835383,
1019,23,172,1,1394835406,
1020,51,147,1,1394835428,
1021,96,21,0,1394835658,
1022,181,17,0,1394835671,
1023,24,109,1,1394835722,
1024,153,116,1,1394835746,
1025,175,65,1,1394835772,
1026,196,28,1,1394836837,
1027,120,191,1,1394836859,
1028,31,30,1,1394836880,
1029,56,31,1,1394836900,
1030,108,115,1,1394836922,
1031,33,37,1,1394836942,
1032,194,134,1,1394836963,
1033,35,102,1,1394836984,
1034,108,50,1,1394837004,
1035,172,200,1,1394837106,
1036,167,41,1,1394837147,
1037,112,43,1,1394837182,
1038,191,197,0,1394837192,
1039,158,159,1,1394837206,
1040,125,134,1,1394837246,
1041,208,114,1,1394837271,
1042,207,187,1,1394837353,
1043,163,96,1,1394837374,
1044,125,50,1,1394837394,
1045,51,94,1,1394837433,
1046,111,52,1,1394837450,
1047,202,110,1,1394837469,
1048,192,76,1,1394837656,
1049,56,216,1,1394837681,
1050,153,134,1,1394837707,
1051,219,172,1,1394838119,
1052,76,205,1,1394838143,
1053,60,30,1,1394838158,
1054,112,61,1,1394838176,
1055,175,62,1,1394838193,
1056,195,189,1,1394838210,
1057,170,199,1,1394838233,
1058,65,79,1,1394838250,
1059,163,105,1,1394838267,
1060,127,106,1,1394838283,
1061,116,68,1,1394838300,
1062,194,188,1,1394838314,
1063,43,70,1,1394838333,
1064,170,177,1,1394838348,
1065,116,107,0,1394838366,
1066,68,176,1,1394838368,
1067,204,168,1,1394838388,
1068,220,76,1,1394838415,
1069,195,201,1,1394838439,
1070,108,211,1,1394838456,
1071,108,79,1,1394838469,
1072,181,151,1,1394838522,
1073,184,192,1,1394838528,
1074,195,7,1,1394838537,
1075,202,159,1,1394838551,
1076,173,6,1,1394838594,
1077,119,27,1,1394838609,
1078,88,159,1,1394838625,
1079,209,94,1,1394838684,
1080,127,200,1,1394838715,
1081,92,30,1,1394838738,
1082,163,203,1,1394838764,
1083,28,94,1,1394839147,
1084,61,97,1,1394839183,
1085,125,115,1,1394839209,
1086,170,167,1,1394839221,
1087,207,191,1,1394839235,
1088,117,65,1,1394839250,
1089,65,113,1,1394839269,
1090,170,217,1,1394839294,
1091,161,21,1,1394839308,
1092,6,116,1,1394839424,
1093,7,111,1,1394839449,
1094,182,115,1,1394839522,
1095,202,112,1,1394839536,
1096,176,166,1,1394839560,
1097,206,200,1,1394839592,
1098,68,199,0,1394840201,
1099,114,158,0,1394840313,
1100,17,21,0,1394840347,
1101,6,172,1,1394840387,
1102,202,109,1,1394840405,
1103,202,183,1,1394840410,
1104,21,158,1,1394840476,
1105,212,6,1,1394840521,
1106,174,175,1,1394840544,
1107,116,166,1,1394840547,
1108,209,28,1,1394840560,
1109,196,27,1,1394840573,
1110,187,214,1,1394840609,
1111,214,35,1,1394840636,
1112,191,193,1,1394840646,
1113,108,27,1,1394840662,
1114,39,167,1,1394840682,
1115,210,214,1,1394840703,
1116,174,215,1,1394840726,
1117,7,158,1,1394840913,
1118,113,216,1,1394840933,
1119,134,200,1,1394840954,
1120,125,200,1,1394842020,
1121,187,114,1,1394842419,
1122,70,50,1,1394842448,
1123,51,79,1,1394842511,
1124,207,52,1,1394842545,
1125,205,103,1,1394842569,
1126,166,110,1,1394842591,
1127,192,211,1,1394842592,
1128,208,153,1,1394842612,
1129,6,219,1,1394842631,
1130,205,177,1,1394842653,
1131,62,30,0,1394844852,
1132,96,189,0,1394844871,
1133,170,172,0,1394844891,
1134,65,210,0,1394844924,
1135,134,105,0,1394844944,
1136,97,106,0,1394845211,
1137,170,163,1,1394845699,
1138,70,61,1,1394845723,
1139,220,177,1,1394845761,
1140,176,193,1,1394845788,
1141,174,43,1,1394845811,
1142,168,109,1,1394845828,
1143,209,76,1,1394845850,
1144,94,211,0,1394846834,
1145,125,79,0,1394846849,
1146,151,191,0,1394846863,
1147,125,202,1,1394847208,
1148,207,195,1,1394847253,
1149,94,193,1,1394847275,
1150,220,159,1,1394847295,
1151,173,218,1,1394847320,
1152,158,97,1,1394847840,
1153,125,205,1,1394847868,
1154,167,176,1,1394847898,
1155,207,68,1,1394847921,
1156,113,148,0,1394848006,
1157,151,217,0,1394848027,
1158,161,70,0,1394848047,
1159,35,6,0,1394848774,
1160,134,7,0,1394848803,
1161,112,115,1,1394848894,
1162,177,166,1,1394849001,
1163,163,206,1,1394849022,
1164,111,68,1,1394849041,
